ID	DOI	16ness	DB	Missing Accession	515f	806r	seq_method	gene_region1	Year
29c06709-ee58-411b-b77e-8fc58b57cb8a	10.1186/s40168-017-0384-1	TRUE			TRUE	TRUE	miseq	v4	2018
2b1720ec-435f-4f22-8549-6bf198a7592b	10.1186/s40168-015-0091-8	TRUE	qiita		TRUE	TRUE	miseq	v4	2015
53315edd-483b-4417-ae8e-9409f41867c6	10.1186/s40168-015-0082-9	TRUE	figshare		TRUE	TRUE	hiseq	v4	2015
56c6fdb5-ff21-4ad1-8d07-c9112e38fbd0	10.1186/s40168-015-0141-2	TRUE	figshare		TRUE	TRUE	miseq	v4	2015
611815d3-33fb-4747-99f2-c7b19cb41000	10.1186/s40168-016-0225-7	TRUE	qiita		TRUE	TRUE	miseq	v4	2017
6bd644ae-b0b2-4968-9fb1-4ea466366c12	10.1186/s40168-017-0328-9	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
801717fb-9c5c-4950-b5eb-ff3d3ccedfb7	10.1186/s40168-017-0291-5	TRUE			TRUE	TRUE	miseq		2017
9aef3dcf-4a0b-4ac7-9350-af0fc62da608	10.1186/s40168-018-0403-x	TRUE			TRUE	TRUE	miseq		2018
Abu_Laban_Dao_et_al._2015_-_Biodegradation_of_C7_and_C8	10.1111/1462-2920.12643	TRUE			TRUE	TRUE	454		2015
Almeida_Silva_Pereira_et_al._2018_-_Unveiling_Concealed_Functions_of_Endosymbiotic	10.1128/AEM.00660-18	TRUE			TRUE	TRUE	454		2018
Andres-Barrao_Lafi_et_al._2017_-_Complete_Genome_Sequence_Analysis	10.3389/fmicb.2017.02023	TRUE			TRUE	TRUE	miseq		2017
Angst_Baldrian_et_al._2018_-_Different_twig_litter_Salix_caprea	10.1093/femsec/fiy126	TRUE			TRUE	TRUE	miseq	v4	2018
Aoyagi_Hanada_et_al._2015_-_Ultra-high-sensitivity_stable-isotope_probing_of_rRNA	10.1111/1758-2229.12243	TRUE			TRUE	TRUE	miseq		2015
Aoyagi_Kimura_et_al._2015_-_Dynamic_transition_of_chemolithotrophic_sulfur-oxidizing	10.3389/fmicb.2015.00426	TRUE	mg-rast		TRUE	TRUE	miseq		2015
Aoyagi_Morishita_et_al._2018_-_Identification_of_active_and_taxonomically	10.1038/s41396-018-0201-2 	TRUE			TRUE	TRUE	miseq	v4	2018
Armada_Leite_et_al._2018_-_Native_bacteria_promote_plant_growth	10.1093/femsec/fiy092	TRUE			TRUE	TRUE	454	v4	2018
Avena_Parfrey_et_al._2016_-_Deconstructing_the_Bat_Skin_Microbiome	10.3389/fmicb.2016.01753	TRUE			TRUE	TRUE	hiseq	v4	2016
Babcsanyi_Meite_et_al._2017_-_Biogeochemical_gradients_and_microbial_communities	10.1093/femsec/fix089	TRUE			TRUE	TRUE	miseq	v4	2017
Bai_Wang_et_al._2017_-_Microbial_Community_and_Functional_Structure	10.3389/fmicb.2017.00945	TRUE			TRUE	TRUE	miseq	v5	2017
Belda_Zarraonaindia_et_al._2017_-_From_Vineyard_Soil_to_Wine	10.3389/fmicb.2017.00821	TRUE			TRUE	TRUE	miseq	v4	2017
Berg_Stenuit_et_al._2016_-_Assembly_of_the_Caenorhabditis_elegans	10.1038/ismej.2015.253	TRUE			TRUE	TRUE	hiseq	v4	2016
Bernstein_Brislawn_et_al._2017_-_Trade-offs_between_microbiome_diversity	10.1038/ismej.2016.133	TRUE	qiita		TRUE	TRUE	miseq	v4	2017
Bisanz_Enos_et_al._2015_-_Microbiota_at_Multiple_Body_Sites	10.1128/AEM.00780-15	TRUE	qiita		TRUE	TRUE	miseq		2015
Bokulich_Bergsveinson_et_al._2015_-_Mapping_microbial_ecosystems_and_spoilage-gene	10.7554/eLife.04634.001 	TRUE	qiita		TRUE	TRUE	miseq		2015
Boutin_Hagenfeld_et_al._2017_-_Clustering_of_Subgingival_Microbiota_Reveals	10.3389/fmicb.2017.00340	TRUE	figshare		TRUE	TRUE	miseq	v4	2017
Bryson_Thurber_et_al._2015_-_A_novel_sister_clade	10.1111/1462-2920.12758	TRUE	mg-rast		TRUE	TRUE	454		2015
Cacho_Harrison_et_al._2017_-_Personalization_of_the_Microbiota	10.3389/fmicb.2017.01470	TRUE			TRUE	TRUE	hiseq	v4	2017
Cao_Wang_et_al._2018_-_Bacillus_amyloliquefaciens_Ameliorates_Dextran_Sulfate	10.3389/fmicb.2018.03260	TRUE			TRUE	TRUE	miseq	v4	2018
Cao_Zhang_et_al._2018_-_Insight_Into_the_Variation	10.3389/fmicb.2018.00864	TRUE			TRUE	TRUE	hiseq		2018
Chalvatzi_Kalamaki_et_al._2016_-_Dietary_supplementation_with_the_clay	10.1111/jam.13041	TRUE			TRUE	TRUE	miseq	v3	2016
Chen_Kleindienst_et_al._2017_-_Mutualistic_interaction_between_dichloromethane	10.1111/1462-2920.13945	TRUE			TRUE	TRUE	miseq	v4	2017
Cheng_Liang_et_al._2017_-_The_Bacteriophage_EF-P29_Efficiently_Protects	10.3389/fmicb.2017.00837	TRUE			TRUE	TRUE	hiseq	v4	2017
Cohen_Pasternak_et_al._2019_-_Bacteria_and_microeukaryotes_are_differentially	10.1111/1462-2920.14548	TRUE			TRUE	TRUE	miseq	v4	2019
Cuellar-Gempeler_Leibold_2018_-_Multiple_colonist_pools_shape_fiddler	10.1038/s41396-017-0014-8 	TRUE			TRUE	TRUE	miseq		2018
Cummings_Barbe_et_al._2016_-_A_novel_uncultured_heterotrophic_bacterial	10.1186/s12866-016-0817-1	TRUE			TRUE	TRUE	hiseq		2016
Darcy_King_et_al._2017_-_Spatial_autocorrelation_of_microbial_communities	10.1093/femsec/fix095 	TRUE	figshare		TRUE	TRUE	miseq		2017
Denef_Mueller_et_al._2016_-_Chloroflexi_CL500-11_Populations_That_Predominate	10.1128/AEM.03014-15	TRUE			TRUE	TRUE	miseq	v4	2016
Dhoe_Conterno_et_al._2018_-_Prebiotic_Wheat_Bran_Fractions_Induce	10.3389/fmicb.2018.00031	TRUE			TRUE	TRUE	miseq	v4	2018
Drigo_Nielsen_et_al._2017_-_Interactive_effects_of_seasonal_drought	10.1111/1462-2920.13802	TRUE			TRUE	TRUE	miseq	v4	2017
Eeckhaut_Wang_et_al._2016_-_The_Probiotic_Butyricicoccus_pullicaecorum_Reduces	10.3389/fmicb.2016.01416	TRUE			TRUE	TRUE	miseq	v4	2016
Fang_Kato_et_al._2017_-_Predominance_of_Viable_Spore-Forming_Piezophilic	10.3389/fmicb.2017.00137	TRUE	mg-rast		TRUE	TRUE	miseq		2017
Flynn_Koval_et_al._2017_-_Parallelized	10.3389/fmicb.2017.02321	TRUE			TRUE	TRUE	miseq	v4	2017
Fortney_He_et_al._2018_-_Investigating_the_Composition_and_Metabolic	10.3389/fmicb.2018.02075	TRUE			TRUE	TRUE	hiseq		2018
Friedman_McPhillips_et_al._2015_-_Methane_Emission_in_a_Specific	10.3389/fmicb.2015.01523	TRUE	mg-rast		TRUE	TRUE	miseq		2015
Gao_Shao_et_al._2016_-_Non-selective_Separation_of_Bacterial_Cells	10.3389/fmicb.2016.01891	TRUE			TRUE	TRUE	miseq	v4	2016
Gebert_Delgado-Baquerizo_et_al._2018_-_Ecological_Analyses_of_Mycobacteria	10.1128/mBio.01614-18	TRUE	figshare		TRUE	TRUE	miseq	v4	2018
Goldberg_Nelson_et_al._2017_-_Cascading_influence_of_inorganic_nitrogen	10.1111/1462-2920.13825	TRUE			TRUE	TRUE	miseq	v4	2017
Grettenberger_Pearce_et_al._2017_-_Efficient_Low-pH_Iron_Removal	10.1128/AEM.00015-17	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
Griffith_Weiss_et_al._2018_-_Analysis_of_the_gut-specific_microbiome	10.1186/s12866-018-1284-7	TRUE			TRUE	TRUE	miseq	v4	2018
Grond_Lanctot_et_al._2017_-_Recruitment_and_establishment	10.1093/femsec/fix142	TRUE			TRUE	TRUE	miseq	v4	2017
Gu_Wu_et_al._2018_-_Isolation_and_Transcriptome_Analysis	10.3389/fmicb.2018.02162	TRUE			TRUE	TRUE	miseq		2018
Guo_Tang_et_al._2018_-_Rutin_and_Its_Combination	10.3389/fmicb.2018.02651	TRUE			TRUE	TRUE	hiseq	v4	2018
Ha_Renslow_et_al._2015_-_Regulation_of_electron_transfer_processes	10.3389/fmicb.2015.00909	TRUE			TRUE	TRUE	miseq	v4	2015
Haley_Pettengill_et_al._2016_-_Comparison_of_Microbial_Communities_Isolated	10.3389/fmicb.2016.00691	TRUE	mg-rast		TRUE	TRUE	miseq		2016
Hamid_Hussain_et_al._2017_-_Successive_soybean-monoculture_cropping_assembles_rhizosphere	10.1093/femsec/fiw222	TRUE			TRUE	TRUE	miseq	v4	2017
Hara_Morikawa_et_al._2019_-_Identification_of_Nitrogen-Fixing_Bradyrhizobium_Associated	10.3389/fmicb.2019.00407	TRUE			TRUE	TRUE	miseq		2019
Hayer_Schwartz_et_al._2016_-_Identification_of_growing_bacteria	10.1111/1758-2229.12475	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2016
Herren_McMahon_2017_-_Cohesion_a_method_for_quantifying	10.1038/ismej.2017.91	TRUE	qiita		TRUE	TRUE	miseq		2017
Holland-Moritz_Stuart_et_al._2018_-_Novel_bacterial_lineages_associated	10.1111/1462-2920.14288	TRUE	figshare		TRUE	TRUE	miseq	v5	2018
Hoshino_Kuratomi_et_al._2015_-_Ecophysiology_of_Zetaproteobacteria_Associated	10.3389/fmicb.2015.01554	TRUE			TRUE	TRUE	miseq	v4	2015
Hoshino_Toki_et_al._2017_-_Atribacteria_from_the_Subseafloor_Sedimentary	10.3389/fmicb.2017.01135	TRUE			TRUE	TRUE	miseq		2017
Hou_Huang_et_al._2017_-_Environmental_Factors_Shape_Water_Microbial	10.3389/fmicb.2017.02359	TRUE			TRUE	TRUE	hiseq		2017
